scale,absort,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
General Ability (GAI),wisc5_02,wisc5,WISC-V,General Cognitive Ability,General Intelligence,General Ability Index,,,,npsych_test,scaled_score,A subset of intellectual functioning with reduced influences of working memory and processing speed
Verbal Comprehension (VCI),wisc5_03,wisc5,WISC-V,General Cognitive Ability,Knowledge,Crystallized Knowledge,,,,npsych_test,standard_score,"Verbal Comprehension (i.e., the ability to verbalize meaningful concepts, think about verbal information, and express oneself using words)"
Similarities,wisc5_03.1,wisc5,WISC-V,Verbal/Language,Reasoning,Word Reasoning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Verbal concept formation and abstract reasoning
Vocabulary,wisc5_03.2,wisc5,WISC-V,Verbal/Language,Knowledge,Word Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,Verbal concept formation and word knowledge
Information,wisc5_03.3,wisc5,WISC-V,Verbal/Language,Knowledge,World Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,General world knowledge and ability to recall and understand information
Comprehension,wisc5_03.4,wisc5,WISC-V,Verbal/Language,Knowledge,Acquired Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,Practical knowledge and judgment of general principles and social situations
Visual Spatial (VSI),wisc5_04,wisc5,WISC-V,General Cognitive Ability,Reasoning,Spatial Reasoning,Simultaneous,Nonverbal,,npsych_test,standard_score,The patient's ability to evaluate visual details understand spatial relations among objects and construct geometric design using models
Block Design,wisc5_04.1,wisc5,WISC-V,Visual Perception/Construction,Construction,Block Construction,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,Understanding visual-spatial relationships to construct unfamiliar geometric designs from a model
Visual Puzzles,wisc5_04.2,wisc5,WISC-V,Visual Perception/Construction,Perception,Mental Rotation,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,A measure of visual-perceptual reasoning and mental transformation abilities that requires examinees to solve visual puzzles within a time limit
Fluid Reasoning (FRI),wisc5_05,wisc5,WISC-V,General Cognitive Ability,Reasoning,Fluid Reasoning,,,,npsych_test,standard_score,"Fluid Reasoning (i.e., the ability to use reasoning to identify and apply solutions to problems)"
Matrix Reasoning,wisc5_05.1,wisc5,WISC-V,Visual Perception/Construction,Reasoning,Nonverbal Reasoning,Simultaneous,Nonverbal,Untimed,npsych_test,scaled_score,Inductive reasoning and nonverbal problem-solving
Figure Weights,wisc5_05.2,wisc5,WISC-V,Visual Perception/Construction,Reasoning,General Sequential Reasoning,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,General sequential (deductive) reasoning and quantitative reasoning
Picture Concepts,wisc5_05.3,wisc5,WISC-V,Visual Perception/Construction,Reasoning,Nonverbal Reasoning,Simultaneous,Nonverbal,Untimed,npsych_test,scaled_score,Fluid and inductive reasoning and conceptual thinking
Arithmetic,wisc5_05.4,wisc5,WISC-V,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Timed,npsych_test,scaled_score,Solving math word problems in working memory
Working Memory (WMI),wisc5_06,wisc5,WISC-V,General Cognitive Ability,Working Memory,Working Memory Index,,,,npsych_test,standard_score,"Working memory (i.e., the ability to consciously register maintain and manipulate auditory and visual information)"
Digit Span,wisc5_06.1,wisc5,WISC-V,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,scaled_score,"Registering, maintaining, and manipulating auditory information"
Digit Span Forward,wisc5_06.2,wisc5,WISC-V,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,scaled_score,"Auditory attentional capacity, or how much information can be processed at once"
Digit Span Backward,wisc5_06.3,wisc5,WISC-V,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,scaled_score,A measure of both attentional capacity and working memory
Digit Span Sequencing,wisc5_06.4,wisc5,WISC-V,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,scaled_score,Maintenance and resequencing of progressively lengthier number strings in working memory
Picture Span,wisc5_06.5,wisc5,WISC-V,Attention/Executive,Working Memory,Nonverbal Working Memory,Attention,Nonverbal,Untimed,npsych_test,scaled_score,Maintenance and resequencing of progressively lengthier sets of pictures in spatial working memory
Letter-Number Sequencing,wisc5_06.6,wisc5,WISC-V,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,scaled_score,Maintenance and resequencing of progressively lengthier number and letter strings in working memory
Longest Digit Span Backward,wisc5_06.7,wisc5,WISC-V,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,raw_score,Working memory capacity for orally presented information
Longest Digit Span Forward,wisc5_06.8,wisc5,WISC-V,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,raw_score,Auditory attentional capacity
Longest Digit Span Sequence,wisc5_06.9,wisc5,WISC-V,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,raw_score,Working memory manipulation for verbally presented information
Processing Speed (PSI),wisc5_07,wisc5,WISC-V,General Cognitive Ability,Processing Speed,Processing Speed Index,,,,npsych_test,standard_score,Ability to quickly use reasoning to identify and apply solutions to problems
Coding,wisc5_07.1,wisc5,WISC-V,Attention/Executive,Processing Speed,Cognitive Efficiency,Planning,Nonverbal,Timed,npsych_test,scaled_score,"Efficiency of psychomotor speed, visual scanning ability, and visual-motor coordination"
Symbol Search,wisc5_07.2,wisc5,WISC-V,Attention/Executive,Processing Speed,Perceptual Speed,Planning,Nonverbal,Timed,npsych_test,scaled_score,Visual-perceptual decision-making speed
Cancellation,wisc5_07.3,wisc5,WISC-V,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,npsych_test,scaled_score,Selective attention and attentional fluency on a cancellation task
Cognitive Proficiency (CPI),wisc5_08,wisc5,WISC-V,General Cognitive Ability,Executive,Attentional Fluency,,,,npsych_test,standard_score,Index of cognitive processing proficiency that reduces crystallized knowledge verbal reasoning and fluid reasoning demands
Nonverbal (NVI),wisc5_09,wisc5,WISC-V,General Cognitive Ability,Reasoning,Fluid Reasoning,Simultaneous,Nonverbal,,npsych_test,standard_score,General intellectual functioning that minimizes expressive language demands
Cancellation Random,wisc5_07.3a,wisc5,WISC-V,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,npsych_test,scaled_score,"Rate of test taking, perceptual speed, visual discrimination, and visual attention scanning (random)"
Cancellation Structured,wisc5_07.3b,wisc5,WISC-V,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,npsych_test,scaled_score,"Rate of test taking, perceptual speed, visual discrimination, and visual attention scanning (structured)"
Block Design No Time Bonus,wisc5_04.1a,wisc5,WISC-V,Visual Perception/Construction,Construction,Block Construction,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,Understanding visual-spatial relationships to construct unfamiliar geometric designs from a model (untimed)
Picture Span,,wms4,WMS-IV,Attention/Executive,Working Memory,Nonverbal Working Memory,Attention,Nonverbal,Untimed,npsych_test,scaled_score,Performance on a nonverbal working memory task
Symbol Span,,wms4,WMS-IV,Attention/Executive,Working Memory,Nonverbal Working Memory,Attention,Nonverbal,Untimed,npsych_test,scaled_score,"The patient's ability to encode, maintain, and recall visual information in short-term working memory"
Logical Memory I,,wms4,WMS-IV,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Expository story learning immediate recall
Logical Memory II,,wms4,WMS-IV,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Expository story learning long-term recall
Visual Reproduction I,,wms4,WMS-IV,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,Short-term recall and reconstruction of a complex abstract figure
Visual Reproduction II,,wms4,WMS-IV,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,Long-term recall and reconstruction of a complex abstract figure
Word Choice,,word_choice,ACS Word Choice,Performance Validity,Cognitive Effort,Forced-Choice Recognition Memory,,,,validity_indicator,raw_score,An effort test (word choice)
Animal Coding,,wppsi4,WPPSI-IV,Attention/Executive,Processing Speed,Cognitive Efficiency,Planning,Nonverbal,Timed,npsych_test,scaled_score,Visual motor processing speed
Bug Search,,wppsi4,WPPSI-IV,Attention/Executive,Processing Speed,Cognitive Efficiency,Planning,Nonverbal,Timed,npsych_test,scaled_score,"Processing speed, attention, and concentration"
Cancellation,,wppsi4,WPPSI-IV,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,npsych_test,scaled_score,Selective attention and attentional fluency on a cancellation task
Cancellation Random,,wppsi4,WPPSI-IV,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,npsych_test,scaled_score,"Rate of test taking, perceptual speed, visual discrimination, and visual attention scanning (random)"
Cancellation Structured,,wppsi4,WPPSI-IV,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,npsych_test,scaled_score,"Rate of test taking, perceptual speed, visual discrimination, and visual attention scanning (structured)"
Picture Memory,,wppsi4,WPPSI-IV,Attention/Executive,Working Memory,Nonverbal Working Memory,Attention,Nonverbal,Untimed,npsych_test,scaled_score,Ability to remember and recall visual information
Zoo Locations,,wppsi4,WPPSI-IV,Attention/Executive,Working Memory,Nonverbal Working Memory,Attention,Nonverbal,Untimed,npsych_test,scaled_score,Ability to understand and use spatial concepts temporarily stored in working memory
Cognitive Proficiency (CPI),,wppsi4,WPPSI-IV,General Cognitive Ability,Executive,Attentional Fluency,,,,npsych_test,standard_score,Index of cognitive processing proficiency that reduces crystallized knowledge verbal reasoning and fluid reasoning demands
Fluid Reasoning (FRI),,wppsi4,WPPSI-IV,General Cognitive Ability,Reasoning,Fluid Reasoning,,,,npsych_test,standard_score,Ability to use reasoning to identify and apply solutions to problems
Full Scale IQ (FSIQ),,wppsi4,WPPSI-IV,General Cognitive Ability,General Intelligence,Full Scale IQ,,,,npsych_test,standard_score,General intellectual ability
General Ability (GAI),,wppsi4,WPPSI-IV,General Cognitive Ability,General Intelligence,General Ability Index,,,,npsych_test,standard_score,A subset of intellectual functioning with reduced influences of working memory and processing speed
Nonverbal (NVI),,wppsi4,WPPSI-IV,General Cognitive Ability,Reasoning,Fluid Reasoning,,,,npsych_test,standard_score,General intellectual functioning that minimizes expressive language demands
Processing Speed (PSI),,wppsi4,WPPSI-IV,General Cognitive Ability,Processing Speed,Processing Speed Index,,,Timed,npsych_test,standard_score,Ability to quickly use reasoning to identify and apply solutions to problems
Verbal Comprehension (VCI),,wppsi4,WPPSI-IV,General Cognitive Ability,Knowledge,Crystallized Knowledge,,,,npsych_test,standard_score,"Verbal Comprehension (i.e., the ability to verbalize meaningful concepts, think about verbal information, and express oneself using words)"
Visual Spatial (VSI),,wppsi4,WPPSI-IV,General Cognitive Ability,Reasoning,Fluid Reasoning,,,,npsych_test,standard_score,The patient's ability to evaluate visual details understand spatial relations among objects and construct geometric design using models
Vocabulary Acquisition (VAI),,wppsi4,WPPSI-IV,General Cognitive Ability,Knowledge,Crystallized Knowledge,,,,npsych_test,standard_score,Vocabulary acquisition and development
Working Memory (WMI),,wppsi4,WPPSI-IV,General Cognitive Ability,Working Memory,Working Memory Index,,,,npsych_test,standard_score,"Working memory (i.e., the ability to consciously register maintain and manipulate auditory and visual information)"
Comprehension,,wppsi4,WPPSI-IV,Verbal/Language,Knowledge,Acquired Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,Practical knowledge and judgment of general principles and social situations
Information,,wppsi4,WPPSI-IV,Verbal/Language,Knowledge,World Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,General world knowledge and ability to recall and understand information
Picture Naming,,wppsi4,WPPSI-IV,Verbal/Language,Word Retrieval,Naming,Simultaneous,Nonverbal,Untimed,npsych_test,scaled_score,Ability to name objects and actions
Receptive Vocabulary,,wppsi4,WPPSI-IV,Verbal/Language,Knowledge,Word Knowledge,Simultaneous,Verbal,Untimed,npsych_test,scaled_score,"Receptive language ability, vocabulary development, and ability to understand and use words"
Similarities,,wppsi4,WPPSI-IV,Verbal/Language,Reasoning,Word Reasoning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Verbal concept formation and abstract reasoning
